Samples,Jn Estimate,Jn Error Rate,Kn Estimate,Kn Error Rate
828,0.998684,0.00131628,3.01255,-0.0125456
829,0.998685,0.0013147,3.01253,-0.0125304
830,0.998687,0.00131311,3.01252,-0.0125153
831,0.998688,0.00131153,3.0125,-0.0125003
832,0.99869,0.00130996,3.01249,-0.0124853
833,0.998692,0.00130838,3.01247,-0.0124703
834,0.998693,0.00130681,3.01246,-0.0124553
835,0.998695,0.00130525,3.01244,-0.0124404
836,0.998696,0.00130369,3.01243,-0.0124255
837,0.998698,0.00130213,3.01241,-0.0124107
838,0.998699,0.00130058,3.0124,-0.0123959
839,0.998701,0.00129903,3.01238,-0.0123811
840,0.998703,0.00129748,3.01237,-0.0123663
841,0.998704,0.00129594,3.01235,-0.0123516
842,0.998706,0.0012944,3.01234,-0.012337
843,0.998707,0.00129286,3.01232,-0.0123223
844,0.998709,0.00129133,3.01231,-0.0123077
845,0.99871,0.0012898,3.01229,-0.0122932
846,0.998712,0.00128828,3.01228,-0.0122786
847,0.998713,0.00128676,3.01226,-0.0122641
848,0.998715,0.00128524,3.01225,-0.0122497
849,0.998716,0.00128373,3.01224,-0.0122353
850,0.998718,0.00128222,3.01222,-0.0122209
851,0.998719,0.00128071,3.01221,-0.0122065
852,0.998721,0.00127921,3.01219,-0.0121922
853,0.998722,0.00127771,3.01218,-0.0121779
854,0.998724,0.00127621,3.01216,-0.0121636
855,0.998725,0.00127472,3.01215,-0.0121494
856,0.998727,0.00127323,3.01214,-0.0121352
857,0.998728,0.00127174,3.01212,-0.012121
858,0.99873,0.00127026,3.01211,-0.0121069
859,0.998731,0.00126878,3.01209,-0.0120928
860,0.998733,0.00126731,3.01208,-0.0120788
861,0.998734,0.00126583,3.01206,-0.0120647
862,0.998736,0.00126437,3.01205,-0.0120507
863,0.998737,0.0012629,3.01204,-0.0120368
864,0.998739,0.00126144,3.01202,-0.0120228
865,0.99874,0.00125998,3.01201,-0.0120089
866,0.998741,0.00125853,3.012,-0.0119951
